Bauwerk Name;Bauwerkselement Name;Bauwerkselement Typ;Bauwerkselement Nummer;Bauwerkselement Niveau;X-Koordinate;Y-Koordinate;Bauwerksreferenzort Nummer;Bauwerkselement Exportnummer
Aalemannufer (Berlin);Aalemannufer (Berlin);Bauwerk;463;;13,212586;52,573253;27205;900027205
Aalemannufer (Berlin);Bushalt Niederneuendorfer A. ht. Aalemannufer;Zugang und ÖV;4;0;13,212458;52,573577;27205;300463004
Aalemannufer (Berlin);Bushalt Niederneuendorfer A. vor Aalemannufer;Zugang und ÖV;2;0;13,212810;52,572963;27205;300463002
Aalemannufer (Berlin);Bushalt Niederneuendorfer A. vor Aalemannufer;Zugang und ÖV;3;0;13,212904;52,573159;27205;300463003
Aalemannufer (Berlin);Bushalt Niederneuendorfer A. vor ggü. Aalemannufer;Zugang und ÖV;1;0;13,212484;52,573433;27205;300463001
Aalkasten;Aalkasten;Bauwerk;3243;;13,412255;53,243513;340201;900340201
Aalkasten;Bushalt Aalkasten;Zugang und ÖV;1;0;13,412223;53,243449;340201;303243001
Aalkasten;Bushalt Aalkasten;Zugang und ÖV;2;0;13,412245;53,243518;340201;303243002
Abbendorf, Ausbau;Abbendorf, Ausbau;Bauwerk;3279;;11,921651;52,905758;215090;900215090
Abbendorf, Ausbau;Bushalt Ausbau;Zugang und ÖV;1;0;11,921834;52,905809;215090;303279001
Abbendorf, Ausbau;Bushalt Ausbau;Zugang und ÖV;2;0;11,921544;52,905682;215090;303279002
Abbendorf, Mitte;Abbendorf, Mitte;Bauwerk;3280;;11,912336;52,898737;215091;900215091
Abbendorf, Mitte;Bushalt Mitte;Zugang und ÖV;1;0;11,912376;52,898721;215091;303280001
Abbendorf, Mitte;Bushalt Mitte;Zugang und ÖV;2;0;11,912301;52,898784;215091;303280002
Abgeordnetenhaus (Berlin);Abgeordnetenhaus (Berlin);Bauwerk;2825;;13,379666;52,506553;12105;900012105
Abgeordnetenhaus (Berlin);Bushalt Stresemannstraße hinter Dessauer Straße;Zugang und ÖV;1;0;13,380041;52,506112;12105;302825001
Abgeordnetenhaus (Berlin);Bushalt Stresemannstraße vor Niederkirchnerstraße;Zugang und ÖV;2;0;13,379986;52,506456;12105;302825002
Abtstr. (Berlin);Abtstr. (Berlin);Bauwerk;6748;;13,543510;52,435523;193510;900193510
Abtstr. (Berlin);Bushalt Anna-Seghers-Straße vor Abtstraße;Zugang und ÖV;1;0;13,543457;52,435497;193510;306748001
Achardstr. (Berlin);Achardstr. (Berlin);Bauwerk;2051;;13,579138;52,499986;175549;900175549
Achardstr. (Berlin);Bushalt Chemnitzer Straße vor Achardstraße;Zugang und ÖV;2;0;13,579108;52,499839;175549;302051002
Achardstr. (Berlin);Bushalt Chemnitzer Straße vor Lenbachstraße;Zugang und ÖV;1;0;13,579171;52,500303;175549;302051001
Ackerfelde;Ackerfelde;Bauwerk;3281;;12,342350;53,232400;205200;900205200
Ackerfelde;Bushalt Ackerfelde;Zugang und ÖV;1;0;12,342350;53,232400;205200;303281001
Ackermannshof;Ackermannshof;Bauwerk;3282;;13,865634;52,771892;350200;900350200
Ackermannshof;Bushalt Ackermannshof;Zugang und ÖV;1;0;13,865636;52,771893;350200;303282001
Adalbertstr. (Berlin);Adalbertstr. (Berlin);Bauwerk;2827;;13,422146;52,505286;100546;900100546
Adalbertstr. (Berlin);Bushalt Bethaniendamm hinter Adalbertstraße;Zugang und ÖV;1;0;13,422303;52,505044;100546;302827001
Adalbertstr. (Berlin);Bushalt Engeldamm hinter Adalbertstraße;Zugang und ÖV;2;0;13,421851;52,505556;100546;302827002
Adalbertstr./Oranienstr. (Berlin);Adalbertstr./Oranienstr. (Berlin);Bauwerk;500;;13,419293;52,501285;14103;900014103
Adalbertstr./Oranienstr. (Berlin);Bushaltestelle Adalbertstraße hinter Oranienstraße;Zugang und ÖV;2;0;13,419507;52,501525;14103;300500002
Adalbertstr./Oranienstr. (Berlin);Bushaltestelle Adalbertstraße hinter Oranienstraße;Zugang und ÖV;3;0;13,419094;52,501062;14103;300500003
